Club,League,Total For,Home For,Away For,First Half For,Second Half For,0-20 For,21-40 For,41-60 For,61-80 For,Matches Played For,Total Against,Home Against,Away Against,First Half Against,Second Half Against,0-20 Against,21-40 Against,41-60 Against,61-80 Against,Matches Played Against
Exeter Chiefs,premiership,83,50,33,42,41,18,24,25,17,22,56,20,36,23,33,11,12,13,21,22
London Wasps,premiership,81,54,27,32,49,14,18,21,28,22,58,29,29,26,32,12,15,19,14,22
Gloucester,premiership,72,40,32,28,44,12,16,20,24,22,55,20,35,26,29,12,14,20,11,22
Saracens,premiership,71,45,26,32,39,15,17,21,18,22,55,22,33,29,26,18,13,12,14,22
Bristol Bears,premiership,70,38,32,26,44,16,10,15,30,22,53,17,36,25,28,14,11,11,17,22
Sale Sharks,premiership,69,37,32,37,32,19,18,13,20,21,37,16,21,11,26,6,5,15,11,21
Harlequins,premiership,63,31,32,26,37,13,13,22,18,22,63,28,35,35,28,21,14,12,18,22
Bath,premiership,59,27,32,28,31,16,12,16,16,22,56,21,35,23,33,15,8,14,20,22
Northampton Saints,premiership,52,29,23,27,25,9,18,13,13,22,69,33,36,30,39,20,12,19,21,22
London Irish,premiership,50,28,22,22,28,13,9,12,18,22,88,54,34,37,51,16,24,21,30,22
Worcester Warriors,premiership,42,26,16,23,19,14,9,8,11,21,78,31,47,34,44,17,18,19,26,21
Leicester Tigers,premiership,35,22,13,15,20,9,6,11,10,22,79,29,50,39,40,16,24,22,20,22
Newcastle Falcons,championship,72,45,27,38,34,16,22,18,17,15,18,12,6,4,14,0,4,4,10,15
Ealing Trailfinders,championship,66,38,28,28,38,16,12,19,20,14,35,20,15,13,22,9,4,7,15,14
Coventry,championship,54,26,28,23,31,12,11,11,21,15,38,12,26,21,17,10,11,11,7,15
Jersey,championship,47,24,23,19,28,14,5,13,16,14,41,13,28,20,21,6,14,10,11,14
Cornish Pirates,championship,46,28,18,24,22,12,12,12,10,15,27,9,18,14,13,10,4,5,9,15
Ampthill,championship,44,23,21,17,27,7,10,12,16,15,55,28,27,30,25,13,18,13,14,15
London Scottish,championship,42,18,24,22,20,11,11,7,13,14,37,16,21,17,20,10,9,9,12,14
Nottingham,championship,39,15,24,17,22,9,8,10,13,14,31,15,16,16,15,6,10,6,10,14
Bedford Blues,championship,35,16,19,23,12,11,12,8,5,15,41,13,28,22,19,15,8,12,7,15
Doncaster Knights,championship,30,15,15,15,15,6,9,6,9,15,50,21,29,26,24,16,11,12,13,15
Hartpury College,championship,27,18,9,14,13,5,9,6,8,14,42,17,25,21,21,11,10,6,15,14
Yorkshire Carnegie,championship,24,17,7,11,13,5,6,3,10,14,111,67,44,47,64,23,24,30,35,14
